task,target_name,target_type
bike-sharing-demand,count,regression
cat-in-the-dat,target,classification
cat-in-the-dat-ii,target,classification
dont-overfit-ii,target,classification
instant-gratification,target,classification
playground-series-s3e1,MedHouseVal,regression
playground-series-s3e10,Class,classification
playground-series-s3e11,cost,regression
playground-series-s3e12,target,classification
playground-series-s3e13,prognosis,classification
playground-series-s3e14,yield,regression
playground-series-s3e16,Age,regression
playground-series-s3e17,Machine failure,classification
playground-series-s3e2,stroke,classification
playground-series-s3e20,emission,regression
playground-series-s3e22,outcome,classification
playground-series-s3e23,defects,classification
playground-series-s3e24,smoking,classification
playground-series-s3e25,Hardness,regression
playground-series-s3e3,Attrition,classification
playground-series-s3e4,Class,classification
playground-series-s3e5,quality,classification
playground-series-s3e6,price,regression
playground-series-s3e7,booking_status,classification
playground-series-s3e8,price,regression
playground-series-s3e9,Strength,regression
playground-series-s4e1,Exited,classification
playground-series-s4e2,NObeyesdad,classification
playground-series-s4e4,Rings,classification
playground-series-s4e5,FloodProbability,regression
playground-series-s4e6,Target,classification
porto-seguro-safe-driver-prediction,target,classification
santander-customer-satisfaction,TARGET,classification
santander-customer-transaction-prediction,target,classification
santander-value-prediction-challenge,target,regression
spaceship-titanic,Transported,classification
tabular-playground-series-apr-2021,Survived,classification
tabular-playground-series-aug-2021,loss,regression
tabular-playground-series-aug-2022,failure,classification
tabular-playground-series-feb-2021,target,regression
tabular-playground-series-feb-2022,target,classification
tabular-playground-series-jan-2021,target,regression
tabular-playground-series-mar-2021,target,classification
tabular-playground-series-mar-2022,congestion,regression
tabular-playground-series-may-2022,target,classification
tabular-playground-series-nov-2021,target,classification
tabular-playground-series-oct-2021,target,classification
tabular-playground-series-sep-2021,claim,classification
titanic,Survived,classification
tmdb-box-office-prediction,revenue,regression
ventilator-pressure-prediction,pressure,regression
